Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
Caro Diario,Nanni Moretti,Movie,,3.6,,7/8/2023,Italian,Drama,To-watch,
Minari,Lee Isaac Chung,Movie,,3.8,,4/26/2021,English,Drama,To-watch,
Judas and the black messiah,Shaka King,Movie,,3.8,,4/26/2021,English,Drama,To-watch,
Nomadland,Chloe Zhao,Movie,,3.8,,4/26/2021,English,Drama,To-watch,
Our friend,Gabriela Cowperthwaite,Movie,,3.5,,1/22/2021,English,Drama,To-watch,
Kumbalangi Nights,Madhu Narayanan,Movie,,4.3,,10/18/2020,Malayalam,Drama,To-watch,
Coup 53,Taghi Amirani,Movie,,3.9,,8/22/2020,Persian,"Documentary, History",To-watch,
Desert One,Barbara Kopple,Movie,,3.8,,8/22/2020,English,"Documentary, History",To-watch,
Boys State,"Amanda McBaine, Jesse Moss",Movie,,4.4,,8/16/2020,English,"Documentary, Society",To-watch,
Snowpiercer,Bong Joon Ho,Movie,,3.6,,7/27/2020,English,Thriller,To-watch,
The Babadook,Jennifer Kent,Movie,,3.4,,6/20/2020,English,Horror,To-watch,https://www.imdb.com/title/tt2321549
The Blind Side,John Lee Hancock,Movie,,3.8,,4/11/2020,English,"Sport, Family",To-watch,
Jojo Rabbit,Taika Waititi,Movie,,4.0,,3/8/2020,English,History,To-watch,
The Sisters Brothers,Jacques Audiard,Movie,,3.5,,3/8/2020,English,Drama,To-watch,
Panga,Ashwiny Iyer Tiwari,Movie,,4.2,,2/1/2020,Hindi,Sport,To-watch,
Nil battey sannata,Ashwiny Iyer Tiwari,Movie,,4.2,,2/1/2020,Hindi,Drama,To-watch,
Aamis-Ravening,Bhaskar Hazarika,Movie,,4.2,,12/7/2019,Assamese,Drama,To-watch,
The lighthouse,Robert Eggers,Movie,,4.1,,10/20/2019,English,Drama,To-watch,
The story of India,Michael Wood,Series,,4.3,,9/16/2019,English,"Documentary, History",To-watch,
Never Look Away,Florian Henckel von Donnersmarck,Movie,,3.8,,2/9/2019,German,Thriller,To-watch,
If Beale Street Could Talk,Barry Jenkins,Movie,,3.8,,1/10/2019,English,Drama,To-watch,
Maborosi,Hirokazu Koreeda,Movie,,3.8,,12/26/2018,Japanese,Drama,To-watch,
Badhaai Ho,Amit Ravindernath Sharma,Movie,,4.1,,11/2/2018,Hindi,Comedy,To-watch,
Love Sonia,Tabrez Noorani,Movie,,3.7,,9/19/2018,Hindi,Drama,To-watch,
Gali Guleiyan,Dipesh Jain,Movie,,3.9,,9/8/2018,Hindi,Drama,To-watch,
The Rider,Chloe Zhao,Movie,,3.8,,4/14/2018,English,Western,To-watch,
In between,Maysaloun Hamoud,Movie,,3.7,,1/5/2018,Arabic,Drama,To-watch,
Enemy at the Gates,Jean-Jacques Annaud,Movie,,3.8,,1/4/2018,English,History,To-watch,
The Devil's Backbone,Guillermo del Toro,Movie,,3.8,,12/2/2017,English,Horror,To-watch,
This Is Spinal Tap,Rob Reiner,Movie,,4.0,,8/11/2017,English,Comedy,To-watch,
Graduation,Cristian Mungiu,Movie,,3.7,,4/15/2017,Romanian,Crime,To-watch,
Behind the Sun,Walter Salles,Movie,,3.9,,2/9/2017,Portuguese,Drama,To-watch,
Parzania,Rahul Dholakia,Movie,,3.9,,2/5/2017,Hindi,Drama,To-watch,
A Monster Calls,J. A. Bayona,Movie,,3.8,,12/23/2016,English,Fantasy,To-watch,
Toni Erdmann,Maren Ade,Movie,,3.7,,12/16/2016,German,Comedy,To-watch,
You Can Count on Me,Kenneth Lonergan,Movie,,3.8,,11/21/2016,English,Drama,To-watch,
Our Little Sister,Hirokazu Koreeda,Movie,,3.8,,7/15/2016,Japanese,Drama,To-watch,
Zero Days,Alex Gibney,Movie,,3.9,,7/8/2016,English,Documentary,To-watch,
The Music of Strangers,Morgan Neville,Movie,,3.9,,6/10/2016,English,Documentary,To-watch,
De Palma,"Jake Paltrow, Noah Baumbach",Movie,,3.7,,6/10/2016,English,Documentary,To-watch,
28 Days Later...,Danny Boyle,Movie,,3.8,,3/20/2016,English,Sci-Fi,To-watch,
The Umbrellas of Cherbourg,Jacques Demy,Movie,,4.0,,2/13/2016,French,Romance,To-watch,
Anomalisa,"Charlie Kaufman, Duke Johnson",Movie,,3.7,,1/8/2016,English,Comedy,To-watch,
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,Movie,,3.8,,1/1/2016,English,Biography,To-watch,
Top of the Lake,"Jane Campion, Gerard Lee",Series,,3.8,,12/31/2015,English,Thriller,To-watch,
The Squid and the Whale,Noah Baumbach,Movie,,3.7,,12/31/2015,English,Comedy,To-watch,
Hitchcock/Truffaut,Kent Jones,Movie,,3.7,,12/4/2015,English,Documentary,To-watch,
The Man Who Wasn't There,"Ethan Coen, Joel Coen",Movie,,3.8,,11/27/2015,English,Thriller,To-watch,
Diva,Jean-Jacques Beineix,Movie,,3.7,,11/13/2015,French,Thriller,To-watch,
Boy A,John Crowley,Movie,,3.8,,11/6/2015,English,Drama,To-watch,
Titli,Kanu Behl,Movie,,3.8,,10/30/2015,Hindi,Thriller,To-watch,
Victoria,Sebastian Schipper,Movie,,3.9,,10/13/2015,English,Thriller,To-watch,
The Golden Dream,Diego Quemada-Diez,Movie,,3.9,,9/4/2015,Spanish,Drama,To-watch,
Rosenwald,Aviva Kempner,Movie,,4.0,,8/28/2015,English,"Documentary, War",To-watch,
True Grit,"Ethan Coen, Joel Coen",Movie,,3.8,,8/18/2015,English,Western,To-watch,
Phoenix,Christian Petzold,Movie,,3.7,,8/2/2015,English,Drama,To-watch,
Read My Lips,Jacques Audiard,Movie,,3.7,,6/26/2015,French,Thriller,To-watch,
Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Movie,,3.9,,6/12/2015,English,Romance,To-watch,
